Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route
176302729,25P2,86,86,0,G,CCM,1510964473,1/11/2023,1/12/2023,1,70132664,ZPLF,2524,1,ZP01,SG00FE
176302873,25P2,"2,961.00","2,961.00","5,000.00",G,CCM,1510961660,1/10/2023,1/20/2023,1,70351598,ZPLF,2524,2,ZP01,SG00GS
176302909,25P2,"2,305.00","2,305.00","3,000.00",G,CCM,1510961507,1/10/2023,1/20/2023,1,70373907,ZPLF,2524,2,ZP01,SG00GS
176302917,25P2,"1,918.00","1,918.00","3,000.00",G,CCM,1510964794,1/11/2023,1/12/2023,1,70029285,ZPLF,2524,2,ZP01,SG00FE
176303381,25P2,180,180,"1,000.00",G,CCM,1510964391,1/11/2023,1/12/2023,1,70019459,ZPLF,2524,1,ZP01,SG00FE
176303453,25P2,"2,811.00","2,811.00","7,000.00",G,CCM,1510965259,1/11/2023,1/12/2023,1,70544149,ZPLF,2524,1,ZP01,SG00FE
176303550,25P2,"3,380.00","3,380.00","6,000.00",G,CCM,1510962357,1/10/2023,1/20/2023,1,70464520,ZPLF,2524,2,ZP01,SG00GS
176303619,25P2,"5,348.00","5,348.00","10,000.00",G,CCM,1510965214,1/11/2023,1/12/2023,1,70465560,ZPLF,2524,2,ZP01,SG00FE
176303621,25P2,"2,691.00","2,691.00","5,000.00",G,CCM,1510962150,1/10/2023,1/20/2023,1,70401488,ZPLF,2524,2,ZP01,SG00GS
176303635,25P2,954,954,"7,000.00",G,CCM,1510962676,1/10/2023,1/20/2023,1,70083842,ZPLF,2524,1,ZP01,SG00GS
176303687,25P2,18,18,0,G,CCM,1510964483,1/11/2023,1/12/2023,1,70043250,ZPLF,2524,1,ZP01,SG00FE
176303696,25P2,342,342,"3,000.00",G,CCM,1510962577,1/10/2023,1/20/2023,1,70435202,ZPLF,2524,1,ZP01,SG00GS
