Delivery,TransPlnngPt,Shipping Type,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Delivery Route,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group
176782265,2513,ZP90,"6,960.00","6,960.00","12,000.00",G,CCM,1510996917,1/20/2023,1/25/2023,1,70012890,ZPLF,2513,1,ZP01
176788371,2513,ZP90,"39,878.00","39,878.00","156,000.00",G,CCM,1511002771,1/21/2023,1/24/2023,1,70382288,ZPLF,2513,2,ZP01
176793424,2513,ZP90,"30,288.00","30,288.00","67,000.00",G,CCM,1511002769,1/21/2023,1/24/2023,1,70382288,ZPLF,2513,2,ZP01
176793425,2513,ZP90,"25,066.00","25,066.00","93,000.00",G,CCM,1511002793,1/21/2023,1/24/2023,1,70012891,ZPLF,2513,2,ZP01
176795690,2513,ZP90,"10,413.00","10,413.00","89,000.00",G,CCM,1511001645,1/20/2023,1/30/2023,1,70462646,ZPLF,2513,2,ZP01
176801687,2513,ZP90,"14,856.00","14,856.00","25,000.00",G,CCM,1511000462,1/20/2023,1/25/2023,1,70089387,ZPLF,2513,2,ZP01
176801688,2513,ZP90,"11,760.00","11,760.00","21,000.00",G,CCM,1510994675,1/19/2023,1/25/2023,1,70089387,ZPLF,2513,1,ZP01
176801689,2513,ZP90,"41,256.00","41,256.00","75,000.00",G,CCM,1511000485,1/20/2023,1/25/2023,1,70089387,ZPLF,2513,2,ZP01
176801913,2513,ZP90,789,789,"4,000.00",G,CCM,1510999472,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,1,ZP01
176813946,2513,ZP90,"225,050.00","225,050.00","1,357,000.00",G,CCM,1511001644,1/20/2023,2/2/2023,1,70012290,ZPLF,2513,1,ZP01
176814802,2513,ZP90,28,28,0,G,CCM,1510993440,1/19/2023,1/24/2023,1,70012591,ZPLF,2513,1,ZP01
176816648,2513,ZP90,"15,900.00","15,900.00","68,000.00",G,CCM,1511001641,1/20/2023,1/26/2023,1,70012117,ZPLF,2513,1,ZP01
176825149,2513,ZP90,"4,272.00","4,272.00","7,000.00",G,CCM,1510996434,1/19/2023,1/25/2023,1,70082252,ZPLF,2513,1,ZP01
176826313,2513,ZP90,"1,824.00","1,824.00","3,000.00",G,CCM,1510994740,1/19/2023,1/25/2023,1,70089406,ZPLF,2513,1,ZP01
176826315,2513,ZP90,"15,558.00","15,558.00","28,000.00",G,CCM,1511004108,1/21/2023,1/25/2023,1,70082252,ZPLF,2513,2,ZP01
176829753,2513,ZP90,"10,366.00","10,366.00","50,000.00",G,CCM,1510998840,1/20/2023,1/30/2023,1,70012106,ZPLF,2513,3,ZP01
176830017,2513,ZP90,"1,920.00","1,920.00","5,000.00",G,CCM,1510994741,1/19/2023,1/25/2023,1,70082252,ZPLF,2513,1,ZP01
176830018,2513,ZP90,"10,848.00","10,848.00","20,000.00",G,CCM,1510996094,1/19/2023,1/25/2023,1,70082254,ZPLF,2513,1,ZP01
176845494,2513,ZP90,"2,203.00","2,203.00","15,000.00",G,CCM,1510998702,1/20/2023,1/30/2023,1,70436633,ZPLF,2513,2,ZP01
176845497,2513,ZP90,"36,024.00","36,024.00","66,000.00",G,CCM,1511004104,1/21/2023,1/25/2023,1,70082252,ZPLF,2513,2,ZP01
176848967,2513,ZP90,"2,515.00","2,515.00","23,000.00",G,CCM,1510998842,1/20/2023,1/30/2023,1,70436633,ZPLF,2513,2,ZP01
176855494,2513,ZP90,"4,934.00","4,934.00","25,000.00",G,CCM,1510998974,1/20/2023,2/2/2023,1,70127594,ZPLF,2513,2,ZP01
176871482,2513,ZP90,"5,527.00","5,527.00","51,000.00",G,CCM,1510999474,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,2,ZP01
176872021,2513,ZP90,400,400,"5,000.00",G,CCM,1510998846,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,1,ZP01
176872023,2513,ZP90,"1,418.00","1,418.00","7,000.00",G,CCM,1510999058,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,2,ZP01
176872897,2513,ZP90,787,787,"5,000.00",G,CCM,1510999198,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,3,ZP01
176872898,2513,ZP90,"1,416.00","1,416.00","7,000.00",G,CCM,1511001698,1/21/2023,1/26/2023,1,70012714,ZPLF,2513,4,ZP01
176872900,2513,ZP90,"1,313.00","1,313.00","5,000.00",G,CCM,1510999268,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,4,ZP01
176872902,2513,ZP90,"1,593.00","1,593.00","10,000.00",G,CCM,1510998850,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,2,ZP01
176872903,2513,ZP90,"34,342.00","34,342.00","173,000.00",G,CCM,1511002805,1/21/2023,1/26/2023,1,70012714,ZPLF,2513,5,ZP01
176872904,2513,ZP90,32,32,"43,000.00",G,CCM,1511001371,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,1,ZP01
176872907,2513,ZP90,"1,716.00","1,716.00","11,000.00",G,CCM,1510998847,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,1,ZP01
176872910,2513,ZP90,"9,407.00","9,407.00","18,000.00",G,CCM,1510998849,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,2,ZP01
176872911,2513,ZP90,54,54,"72,000.00",G,CCM,1511001397,1/20/2023,1/26/2023,1,70012714,ZPLF,2513,1,ZP01
176873490,2513,ZP90,"16,047.00","16,047.00","90,000.00",G,CCM,1510998925,1/20/2023,2/2/2023,1,70012290,ZPLF,2513,3,ZP01
176880396,2513,ZP90,"3,568.00","3,568.00","7,000.00",G,CCM,1510996482,1/19/2023,1/25/2023,1,70012890,ZPLF,2513,1,ZP01
176880397,2513,ZP90,"1,064.00","1,064.00","1,000.00",G,CCM,1510996474,1/19/2023,1/25/2023,1,70012890,ZPLF,2513,1,ZP01
176880410,2513,ZP90,"1,155.00","1,155.00","8,000.00",G,CCM,1510999468,1/20/2023,1/26/2023,1,70012117,ZPLF,2513,1,ZP01
176880762,2513,ZP90,"4,320.00","4,320.00","8,000.00",G,CCM,1510996916,1/20/2023,1/25/2023,1,70130947,ZPLF,2513,1,ZP01
176880763,2513,ZP90,"1,704.00","1,704.00","4,000.00",G,CCM,1510996476,1/19/2023,1/25/2023,1,70130947,ZPLF,2513,1,ZP01
176880764,2513,ZP90,"9,520.00","9,520.00","17,000.00",G,CCM,1511001330,1/20/2023,1/25/2023,1,70130947,ZPLF,2513,2,ZP01
