Delivery,TransPlnngPt,Total Weight,Net Weight,Total Volume,Weight UOM,Volume UOM,Invoice,Invoice Creation Date,Planned Delivery Date,Shipping Type,Ship to,Delivery Type,Shipping Point,Number of HUs,Transportation Group,Delivery Route,
802411497,2522,"104,384.00","104,384.00","460,000.00",G,CCM,1511417245,5/15/2023,5/23/2023,1,70022064,ZPLF,2522,6,ZP01,SG00FL,
802411499,2522,"134,392.00","134,392.00","584,000.00",G,CCM,1511417610,5/15/2023,5/23/2023,1,70028821,ZPLF,2522,9,ZP01,SG00FH,
802411502,2522,"112,826.00","112,826.00","496,000.00",G,CCM,1511416115,5/15/2023,5/23/2023,1,70042234,ZPLF,2522,6,ZP01,SG00FL,
802411503,2522,"124,088.00","124,088.00","538,000.00",G,CCM,1511414070,5/12/2023,5/23/2023,1,70022046,ZPLF,2522,6,ZP01,SG00GV,
802411504,2522,"109,208.00","109,208.00","470,000.00",G,CCM,1511414069,5/12/2023,5/23/2023,1,70022053,ZPLF,2522,3,ZP01,SG00GO,
802411505,2522,"109,392.00","109,392.00","451,000.00",G,CCM,1511414081,5/12/2023,5/23/2023,1,70022053,ZPLF,2522,2,ZP01,SG00GO,
802411596,2522,"168,408.00","168,408.00","723,000.00",G,CCM,1511414089,5/12/2023,5/23/2023,1,70022056,ZPLF,2522,5,ZP01,SG00GL,
802411599,2522,"107,488.00","107,488.00","469,000.00",G,CCM,1511417622,5/15/2023,5/23/2023,1,70083627,ZPLF,2522,6,ZP01,SG00GT,
802411600,2522,"95,686.00","95,686.00","402,733.35",G,CCM,,,5/23/2023,1,70089530,ZPLF,2522,1,ZP01,NG00GG,
802411601,2522,"173,248.00","173,248.00","756,000.00",G,CCM,1511410113,5/12/2023,5/23/2023,1,70133191,ZPLF,2522,3,ZP01,NG00GG,
802411602,2522,"79,348.00","79,348.00","333,000.00",G,CCM,1511414047,5/12/2023,5/23/2023,1,70133191,ZPLF,2522,2,ZP01,NG00GG,
802411603,2522,"67,184.00","67,184.00","291,000.00",G,CCM,1511414200,5/13/2023,5/23/2023,1,70133191,ZPLF,2522,3,ZP01,NG00GG,
802411607,2522,"71,116.00","71,116.00","309,002.09",G,CCM,,,5/23/2023,1,70085997,ZPLF,2522,1,ZP01,SG00FE,
802411609,2522,"73,152.00","73,152.00","309,692.93",G,CCM,,,5/23/2023,1,70282807,ZPLF,2522,1,ZP01,NG00GH,
802411610,2522,"156,454.00","156,454.00","673,285.28",G,CCM,,,5/23/2023,1,70423025,ZPLF,2522,1,ZP01,NG00GD,
802411673,2522,"136,476.00","136,476.00","563,000.00",G,CCM,1511414108,5/12/2023,5/23/2023,1,70028170,ZPLF,2522,2,ZP01,SG00GP,
802411674,2522,"187,302.00","187,302.00","807,139.32",G,CCM,,,5/23/2023,1,70028216,ZPLF,2522,1,ZP01,NG00GG,
802411675,2522,"130,550.00","130,550.00","558,000.00",G,CCM,1511412220,5/12/2023,5/23/2023,1,70028699,ZPLF,2522,3,ZP01,NG00GI,
802411681,2522,"131,908.00","131,908.00","578,056.22",G,CCM,,,5/23/2023,1,70044218,ZPLF,2522,1,ZP01,NG00GD,
