#{"t_start": 1766644727.1364343, "env_id": "None"}
r,l,t
0.42051262,1,830.835489
3.9371593,5,831.073852
2.6304495,3,831.074151
1.5010685,1,831.92726
3.2675836,2,831.927569
3.07756,2,833.216312
2.814833,3,833.216657
3.6825287,1,844.207337
2.5130675,2,844.48885
4.2151504,10,859.100019
3.2727737,7,859.100354
3.755847,5,863.609046
3.241813,4,863.609373
2.9997108,2,863.851099
3.2959325,2,864.089035
3.73231,3,867.067486
2.648622,2,867.067853
4.2441807,2,878.858031
3.867091,7,878.85837
2.915392,2,878.858566
2.6679988,1,879.926679
2.3766289,1,879.927005
1.6301602,1,879.927181
1.8775885,1,881.053288
3.7559552,9,887.516415
1.2399042,1,890.742439
3.2217138,3,890.742851
-0.005,1,893.243417
3.3182335,6,902.034143
3.015557,1,909.898484
3.548387,5,912.947299
4.113949,8,913.934532
4.010052,2,913.934917
3.3011017,5,919.092064
2.9658444,14,921.217721
3.2847252,3,921.218039
3.696613,7,938.499568
3.6400712,5,939.862576
3.4928193,3,949.652141
4.4544477,13,961.485455
3.619388,9,966.494612
3.526965,14,966.494962
1.7943894,2,966.495145
4.0646114,10,972.224911
3.276265,5,976.389683
1.5900297,3,977.347722
3.8454673,6,977.348057
3.4503758,7,988.816028
1.1955334,2,993.413159
3.2236674,3,993.413501
0.39317712,1,995.963911
2.6927307,1,995.964305
0.6026605,2,1002.452475
3.4225006,7,1002.45284
3.4527187,1,1006.099218
2.6965995,1,1006.09957
3.487921,8,1006.46728
3.9689395,2,1010.542394
3.9250815,2,1013.534602
3.2241676,2,1020.970803
3.365161,8,1020.971156
1.9396266,1,1022.959044
3.6546888,8,1025.311736
2.786509,1,1025.631259
3.3681798,4,1025.631591
3.7106237,7,1025.631771
3.7551322,5,1031.126144
2.1963804,3,1034.800071
3.6839106,4,1037.889064
3.1843443,6,1050.714693
4.90983,9,1052.121005
3.8348625,4,1054.648123
3.0697749,12,1055.904991
3.7752085,16,1061.172377
1.7777144,2,1061.172683
1.387726,1,1064.074112
3.2470684,2,1064.07445
3.1388419,1,1064.463925
3.5138106,2,1064.46424
3.4787786,8,1066.847788
0.44932473,1,1066.848125
4.5724063,6,1078.708413
3.5244834,4,1078.708738
1.8950397,3,1086.12737
3.6226642,8,1086.127713
2.8343406,1,1090.039152
2.92177,2,1091.826518
2.40172,1,1091.826864
3.8293488,11,1098.196465
1.9937619,2,1098.196793
2.6825476,7,1098.196936
1.2365603,1,1099.161258
4.616053,4,1104.515969
2.5022135,3,1106.278522
4.3430614,5,1109.333476
3.0191321,3,1109.333827
2.7826247,2,1111.510527
3.8297846,3,1112.706945
2.658207,2,1112.928696
3.7171478,8,1112.929043
3.4668508,6,1112.9292
2.3677745,1,1115.921977
2.8073983,3,1120.53203
3.5041485,5,1128.545636
2.8864846,5,1128.827964
2.9907026,6,1132.334393
3.719868,5,1135.3277
2.0890281,1,1141.224868
3.4849796,3,1141.225194
4.015403,8,1147.083844
3.8418734,9,1152.826008
3.771079,6,1154.106632
2.5858335,3,1155.989841
3.728396,6,1155.990151
1.8685421,3,1163.036022
3.6914372,9,1163.036401
3.5671237,4,1164.029964
3.043216,3,1164.538473
3.642519,5,1164.538808
3.1658578,3,1164.538994
0.3981782,1,1164.539117
3.1015234,2,1172.240502
1.7270123,1,1173.534878
1.8100259,1,1178.357324
3.1902633,5,1179.673054
3.410341,6,1181.422965
3.7792761,6,1181.423249
0.18029597,2,1183.725176
2.0423565,1,1190.404015
3.3290923,2,1190.404312
2.1274447,1,1190.897861
1.4257442,2,1193.66308
1.0437064,1,1196.042643
3.5038373,5,1196.04303
3.225089,7,1196.04319
3.5415545,3,1199.368524
1.425612,2,1200.479977
0.47821492,2,1200.480288
0.7480097,1,1203.018946
2.4633868,3,1203.216071
2.999033,2,1210.319996
3.5370085,4,1215.889737
2.9763238,1,1215.890092
3.869785,7,1217.75515
2.983944,4,1218.040729
2.2024183,1,1218.279869
3.3503048,3,1218.768466
2.3631713,3,1225.863039
3.6468627,6,1225.86338
2.7529726,6,1225.863549
3.4710333,2,1229.135077
3.4850895,6,1232.457352
3.6828103,7,1247.773174
3.809217,5,1247.773691
3.6446965,6,1254.996894
1.573055,3,1254.997239
4.0957656,11,1261.465221
3.4268043,2,1265.745957
1.295581,1,1265.746266
3.7143636,3,1266.436505
4.1126795,2,1269.479047
3.7388496,7,1269.479403
4.2892284,4,1272.418841
2.9586718,3,1272.419148
2.273622,1,1274.947567
2.7380495,1,1274.947943
2.4439702,3,1274.948116
1.5137255,1,1275.253231
3.9215379,4,1275.253553
0.6833325,1,1275.522563
2.8036854,1,1275.522887
1.4475048,1,1275.754714
2.7219017,3,1282.008444
3.7108822,6,1282.008759
1.0182866,1,1282.426577
4.0616007,7,1282.426878
1.8941442,1,1285.090631
3.4605234,7,1285.335122
3.4060185,4,1285.588458
1.2463005,1,1285.588775
4.1480985,4,1288.764182
2.5213237,2,1288.764531
0.61524904,1,1288.983459
3.966854,7,1289.317228
2.1925538,3,1289.60148
3.055183,2,1291.472897
2.052194,3,1291.473206
2.2643857,1,1291.726366
3.8227553,3,1293.388166
0.46341947,2,1294.844993
3.7953022,10,1298.973869
3.838554,4,1304.588648
3.518945,7,1307.8126
3.7739346,5,1311.665589
2.5035887,2,1321.667838
3.646512,6,1321.66816
2.7050962,2,1323.874459
3.0109024,3,1326.982129
3.3132858,6,1326.982432
3.8064926,8,1329.7154
2.8783553,1,1331.575931
3.1427002,3,1342.472509
4.543118,5,1342.472843
3.8574736,5,1342.472992
3.4368339,6,1342.473086
0.56870383,1,1350.892539
2.9079132,2,1355.006182
3.2323484,2,1355.00646
3.2097487,1,1364.05689
2.0737288,3,1366.908398
3.7225933,4,1366.90871
1.2528205,1,1366.908904
2.145103,2,1375.476264
2.9626443,3,1380.706837
3.6017199,3,1388.32586
2.9002573,7,1388.326202
0.40706557,1,1388.53915
2.9084535,4,1403.952328
3.4584901,2,1406.083152
1.5006449,1,1406.08354
2.4456294,1,1411.700836
3.931647,2,1416.106461
3.6805103,5,1416.106782
3.303426,12,1423.959033
3.4790757,4,1426.716069
3.8934546,6,1430.055203
0.886946,3,1430.524524
2.470971,2,1433.473641
2.8017302,1,1438.430331
4.0264616,4,1452.611458
3.3314562,10,1452.909157
4.0358644,3,1459.664351
3.3162823,2,1459.664639
1.8661464,1,1460.216776
2.8004775,6,1460.217041
2.6824002,1,1462.712326
2.0481892,2,1462.712632
3.4046183,17,1462.712808
2.7926004,5,1469.900646
3.0630343,4,1469.901016
3.7661712,5,1470.274679
1.2365603,1,1470.275007
1.415097,1,1470.463169
1.5961902,3,1474.031131
2.3258226,2,1474.031452
0.33063912,1,1475.704046
1.8756057,3,1477.780126
2.6809955,1,1481.312955
2.8391664,2,1481.313268
3.4111714,11,1483.767174
3.7494388,4,1483.767597
3.2674015,3,1486.18795
3.314509,4,1495.051052
3.0803747,3,1498.184016
2.7133055,1,1498.184463
0.43819767,1,1499.6983
3.1604285,6,1499.698764
2.2824738,1,1501.673267
3.8198304,2,1502.338173
0.7465362,1,1504.783969
2.6193123,2,1504.784212
3.6540084,11,1508.433196
3.655875,5,1508.433545
0.50009793,1,1510.70667
3.8322308,3,1512.055093
3.5592632,5,1512.925333
3.6005957,7,1513.322551
1.5547867,1,1513.322881
3.064426,5,1514.341255
2.8489566,2,1515.410178
3.857709,3,1515.410529
3.61677,4,1516.920424
3.500185,9,1516.920697
2.8485062,3,1525.0445
2.8388438,3,1525.046038
3.0061543,1,1525.344867
2.9921517,2,1525.689991
4.0831804,4,1525.690391
2.006395,1,1528.925626
2.610748,5,1528.925946
2.4118507,1,1529.998603
3.3531094,4,1537.358214
3.7426314,4,1545.110002
